DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs,AApqr_BBnqx_CCbt,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,Average
DDcjx,EEkqy,65.94,99.74,18.65,-43.10,-86.05,11.04
,EEdhv,70.07,-16.61,34.77,89.38,50.82,45.69
,EEbkv,81.14,-2.01,-89.70,-34.57,-69.16,-22.86
,EEhq,-50.14,-13.24,37.77,-36.06,-71.51,-26.64
DDcy,EEmz,80.52,-4.64,-92.44,94.00,-69.71,1.55
,EEcrv,-59.85,-17.91,32.47,87.50,-85.28,-8.61
,EEmpy,76.08,-13.06,36.96,-37.44,-75.74,-2.64
,EEbkv,-65.34,-33.29,9.91,-44.79,-86.94,-44.09
DDmx,EEmz,-67.80,95.74,4.88,81.38,41.16,31.07
,EEqz,65.12,-21.77,21.19,87.86,-84.76,13.53
,EEksy,-49.88,-5.37,37.25,-35.73,58.34,0.92
,EEbhk,71.30,-16.40,-94.95,89.15,51.38,20.10
