Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,514.99
AAdk,BBtw,CChv,DDtv,EEmn,773.74
AAdk,BBtw,CChv,DDnt,EEfh,134.02
AAdk,BBtw,CChv,DDtv,EElp,10.4
AAdk,BBtw,CChv,DDnt,EEfx,653.86
AAdk,BBtw,CChv,DDtv,EEdn,405.32
AAdk,BBst,CChv,DDnt,EEdn,799.9
AAdk,BBst,CChv,DDtv,EEmn,162.73
AAdk,BBst,CChv,DDnt,EEfh,803.13
AAdk,BBst,CChv,DDtv,EElp,422.05
AAdk,BBst,CChv,DDnt,EEfx,173.04
AAdk,BBst,CChv,DDtv,EEdn,817.78
AAdk,BBrz,CChv,DDnt,EEdn,308.33
AAdk,BBrz,CChv,DDtv,EEmn,566.35
AAdk,BBrz,CChv,DDnt,EEfh,312.4
AAdk,BBrz,CChv,DDtv,EElp,57.62
AAdk,BBrz,CChv,DDnt,EEfx,571.42
AAdk,BBrz,CChv,DDtv,EEdn,316.78
AAdk,BBtw,CChv,DDnt,EEdn,196.7
AAdk,BBtw,CChv,DDtv,EEmn,838.32
AAdk,BBtw,CChv,DDnt,EEfh,75.7
AAdk,BBtw,CChv,DDtv,EElp,460.38
AAdk,BBtw,CChv,DDnt,EEfx,462.7
AAdk,BBtw,CChv,DDtv,EEdn,471.04
AAdk,BBst,CChv,DDnt,EEdn,737.45
AAdk,BBst,CChv,DDtv,EEmn,621.28
AAdk,BBst,CChv,DDnt,EEfh,880.03
AAdk,BBst,CChv,DDtv,EElp,753.72
AAdk,BBst,CChv,DDnt,EEfx,112.42
AAdk,BBst,CChv,DDtv,EEdn,245.13
