AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,384.17
AAdk,BBtw,CChv,DDtv,EEmn,128.71
AAdk,BBtw,CChv,DDpw,EEfh,384.44
AAdk,BBtw,CChv,DDnt,EElp,905.38
AAdk,BBtw,CChv,DDtv,EEfx,908.15
AAdk,BBtw,CChv,DDpw,EEhr,785.0
AAdk,BBtw,CChv,DDnt,EEhl,402.73
AAdk,BBtw,CChv,DDtv,EEdn,659.41
AAdk,BBtw,CChv,DDpw,EEmn,532.95
AAdk,BBst,CChv,DDnt,EEdn,278.08
AAdk,BBst,CChv,DDtv,EEmn,798.16
AAdk,BBst,CChv,DDpw,EEfh,931.91
AAdk,BBst,CChv,DDnt,EElp,936.67
AAdk,BBst,CChv,DDtv,EEfx,552.9
AAdk,BBst,CChv,DDpw,EEhr,552.48
AAdk,BBst,CChv,DDnt,EEhl,54.86
AAdk,BBst,CChv,DDtv,EEdn,825.51
AAdk,BBst,CChv,DDpw,EEmn,314.06
AAdk,BBtw,CChv,DDnt,EEdn,190.91
AAdk,BBtw,CChv,DDtv,EEmn,63.36
AAdk,BBtw,CChv,DDpw,EEfh,326.57
AAdk,BBtw,CChv,DDnt,EElp,201.87
AAdk,BBtw,CChv,DDtv,EEfx,74.83
AAdk,BBtw,CChv,DDpw,EEhr,719.67
AAdk,BBtw,CChv,DDnt,EEhl,81.68
AAdk,BBtw,CChv,DDtv,EEdn,469.36
AAdk,BBtw,CChv,DDpw,EEmn,219.68
AAdk,BBst,CChv,DDnt,EEdn,611.75
AAdk,BBst,CChv,DDtv,EEmn,488.81
AAdk,BBst,CChv,DDpw,EEfh,623.18
AAdk,BBst,CChv,DDnt,EElp,881.38
AAdk,BBst,CChv,DDtv,EEfx,885.67
AAdk,BBst,CChv,DDpw,EEhr,123.41
AAdk,BBst,CChv,DDnt,EEhl,637.65
AAdk,BBst,CChv,DDtv,EEdn,382.76
AAdk,BBst,CChv,DDpw,EEmn,383.56
