Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,514.95
AApqr,BBnqx,CCbt,DDcy,EEbkv,130.63
AApqr,BBnqx,CCbt,DDcjx,EEkqy,140.92
AApqr,BBnqx,CCbt,DDmx,EEqz,143.07
AApqr,BBnqx,CCbt,DDcy,EEcrv,272.13
AApqr,BBnqx,CCbt,DDcjx,EEdhv,16.33
AApqr,BBnqx,CCbt,DDmx,EEbhk,150.93
AApqr,BBnqx,CCbt,DDcy,EEmz,22.13
AApqr,BBnqx,CCbt,DDcjx,EEbkv,408.04
AApqr,BBfnw,CCbt,DDmx,EEmz,919.61
AApqr,BBfnw,CCbt,DDcy,EEbkv,534.2
AApqr,BBfnw,CCbt,DDcjx,EEkqy,922.81
AApqr,BBfnw,CCbt,DDmx,EEqz,799.89
AApqr,BBfnw,CCbt,DDcy,EEcrv,673.63
AApqr,BBfnw,CCbt,DDcjx,EEdhv,807.72
AApqr,BBfnw,CCbt,DDmx,EEbhk,425.7
AApqr,BBfnw,CCbt,DDcy,EEmz,42.27
AApqr,BBfnw,CCbt,DDcjx,EEbkv,685.19
AApqr,BBlmr,CCbt,DDmx,EEmz,46.61
AApqr,BBlmr,CCbt,DDcy,EEbkv,816.37
AApqr,BBlmr,CCbt,DDcjx,EEkqy,817.21
AApqr,BBlmr,CCbt,DDmx,EEqz,434.3
AApqr,BBlmr,CCbt,DDcy,EEcrv,308.21
AApqr,BBlmr,CCbt,DDcjx,EEdhv,444.47
AApqr,BBlmr,CCbt,DDmx,EEbhk,957.84
AApqr,BBlmr,CCbt,DDcy,EEmz,318.2
AApqr,BBlmr,CCbt,DDcjx,EEbkv,703.78
AApqr,BBnqx,CCbt,DDmx,EEmz,448.49
AApqr,BBnqx,CCbt,DDcy,EEbkv,836.1
AApqr,BBnqx,CCbt,DDcjx,EEkqy,582.62
AApqr,BBnqx,CCbt,DDmx,EEqz,586.19
AApqr,BBnqx,CCbt,DDcy,EEcrv,463.18
AApqr,BBnqx,CCbt,DDcjx,EEdhv,336.3
AApqr,BBnqx,CCbt,DDmx,EEbhk,339.54
AApqr,BBnqx,CCbt,DDcy,EEmz,980.3
AApqr,BBnqx,CCbt,DDcjx,EEbkv,613.53
AApqr,BBfnw,CCbt,DDmx,EEmz,103.45
AApqr,BBfnw,CCbt,DDcy,EEbkv,105.78
AApqr,BBfnw,CCbt,DDcjx,EEkqy,107.62
AApqr,BBfnw,CCbt,DDmx,EEqz,237.55
AApqr,BBfnw,CCbt,DDcy,EEcrv,623.77
AApqr,BBfnw,CCbt,DDcjx,EEdhv,241.58
AApqr,BBfnw,CCbt,DDmx,EEbhk,627.71
AApqr,BBfnw,CCbt,DDcy,EEmz,500.31
AApqr,BBfnw,CCbt,DDcjx,EEbkv,378.1
