Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,773.02
AAdk,BBtw,CChv,DDtv,EEmn,267.86
AAdk,BBtw,CChv,DDpw,EEfh,525.14
AAdk,BBtw,CChv,DDnt,EElp,911.95
AAdk,BBtw,CChv,DDtv,EEfx,527.58
AAdk,BBtw,CChv,DDpw,EEhr,786.11
AAdk,BBtw,CChv,DDnt,EEhl,18.53
AAdk,BBtw,CChv,DDtv,EEdn,921.82
AAdk,BBtw,CChv,DDpw,EEmn,411.32
AAdk,BBst,CChv,DDnt,EEdn,544.76
AAdk,BBst,CChv,DDtv,EEmn,933.23
AAdk,BBst,CChv,DDpw,EEfh,293.55
AAdk,BBst,CChv,DDnt,EElp,298.52
AAdk,BBst,CChv,DDtv,EEfx,939.46
AAdk,BBst,CChv,DDpw,EEhr,312.88
AAdk,BBst,CChv,DDnt,EEhl,63.78
AAdk,BBst,CChv,DDtv,EEdn,576.68
AAdk,BBst,CChv,DDpw,EEmn,456.03
AAdk,BBtw,CChv,DDnt,EEdn,587.9
AAdk,BBtw,CChv,DDtv,EEmn,338.58
AAdk,BBtw,CChv,DDpw,EEfh,723.56
AAdk,BBtw,CChv,DDnt,EElp,84.71
AAdk,BBtw,CChv,DDtv,EEfx,86.07
AAdk,BBtw,CChv,DDpw,EEhr,983.27
AAdk,BBtw,CChv,DDnt,EEhl,856.36
AAdk,BBtw,CChv,DDtv,EEdn,858.9
AAdk,BBtw,CChv,DDpw,EEmn,735.05
AAdk,BBst,CChv,DDnt,EEdn,375.44
AAdk,BBst,CChv,DDtv,EEmn,991.94
AAdk,BBst,CChv,DDpw,EEfh,228.18
AAdk,BBst,CChv,DDnt,EElp,999.98
AAdk,BBst,CChv,DDtv,EEfx,103.11
AAdk,BBst,CChv,DDpw,EEhr,629.95
AAdk,BBst,CChv,DDnt,EEhl,247.33
AAdk,BBst,CChv,DDtv,EEdn,888.42
AAdk,BBst,CChv,DDpw,EEmn,763.44
