DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCprw
DDcjx,EEkqy,12.02,24.29,7.57,3.31,19.28,18.38,2.23,27.42
,EEmz,4.28,6.42,13.01,25.78,26.61,20.02,7.05,12.41
,EEdhv,2.79,6.34,13.60,23.09,23.40,19.19,5.71,10.39
DDmx,EEmz,12.85,23.32,9.84,22.69,15.28,5.29,0.75,7.82
,EEqz,13.39,4.77,8.33,23.93,21.19,6.95,3.17,2.36
,EEbhk,16.81,5.49,10.55,23.35,24.08,19.15,6.49,10.41
DDcy,EEbkv,12.32,26.44,10.73,2.41,19.33,18.32,1.62,1.59
,EEcrv,27.55,22.75,13.96,23.39,19.69,19.42,4.72,0.28
,EEmpy,16.43,26.85,7.14,24.89,25.56,6.03,7.27,11.72
Maximum,,27.55,26.85,13.96,25.78,26.61,20.02,7.27,27.42
