DD,EE,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
Average,,-45.52,13.41,-27.91,47.83,-76.75,76.76,-53.03
,  ,-45.52,13.41,-27.91,47.83,-76.75,76.76,-53.03
DDcy,,-35.16,13.33,-28.10,48.55,-76.10,78.05,-53.46
,  EEbkv,-0.80,13.28,-27.61,47.03,-79.06,77.98,-53.72
,  EEmpy,-95.16,15.18,-22.60,50.74,-73.07,82.59,-47.19
,  EEcrv,-9.51,11.52,-34.08,47.87,-76.17,73.59,-59.48
DDcjx,,-64.21,15.90,-24.93,50.79,-74.06,78.69,-50.76
,  EEhq,-95.50,17.09,-17.60,55.40,-71.64,83.53,-45.56
,  EEkqy,2.66,17.96,-24.88,49.28,-75.50,79.44,-53.16
,  EEdhv,-99.79,12.64,-32.31,47.68,-75.05,73.08,-53.56
DDmx,,-37.18,10.99,-30.71,44.16,-80.07,73.54,-54.87
,  EEqz,-9.52,7.21,-34.35,38.00,-84.76,70.01,-59.51
,  EEbhk,-99.96,13.87,-29.49,48.95,-75.32,75.15,-50.45
,  EEmz,-2.08,11.90,-28.30,45.52,-80.14,75.46,-54.65
