CC,DD,AAdk_BBdl,AAdk_BBmn,AAdk_BBtw,AAdn_BBrv,AAdn_BBpw
Minimum,,76.43,41.09,1.43,10.96,63.22
,  ,76.43,41.09,1.43,10.96,63.22
CChv,,76.43,41.09,1.43,10.96,63.22
,  DDhm,92.24,61.14,2.23,31.35,70.86
,  DDnt,76.43,41.09,1.43,10.96,63.22
,  DDcl,83.85,45.99,3.54,24.49,67.76
CCbx,,79.78,44.40,3.21,23.96,66.18
,  DDrz,79.78,44.40,3.21,23.96,66.18
,  DDnw,93.07,63.97,9.98,38.60,76.76
,  DDcs,91.09,58.95,6.51,28.59,70.93
CCst,,77.01,42.76,2.84,19.73,65.46
,  DDlp,84.03,44.94,3.87,27.84,67.78
,  DDnt,93.27,62.22,9.68,34.50,75.41
,  DDnw,77.01,42.76,2.84,19.73,65.46
