CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,EE,FF
CCcy,,83.68,28.55,4.94,53.57,,
,  DDbmz,86.69,38.52,10.38,56.54,EEmz,FFgqt
,  DDbkv,83.68,28.55,4.94,53.57,EEmz,FFlmr
,  DDhlt,99.49,48.24,19.25,69.73,EEmz,FFlmr
CCkqy,,84.15,32.07,5.85,53.64,,
,  DDbsz,93.15,39.30,9.80,63.05,EEmz,FFlmr
,  DDmx,99.65,49.48,24.38,76.76,EEmz,FFgqt
,  DDcwz,84.15,32.07,5.85,53.64,EEmz,FFgqt
CCbt,,79.15,28.92,3.67,51.36,,
,  DDhpt,85.27,36.65,9.15,54.19,EEmz,FFlmr
,  DDmx,79.15,28.92,3.67,51.36,EEmz,FFgqt
,  DDmpy,97.07,41.50,16.36,68.73,EEmz,FFgqt
Minimum,,79.15,28.55,3.67,51.36,,
,  ,79.15,28.55,3.67,51.36,,
