DD,EE,AAhpx_BBlmr_CCbt,AAhpx_BBbwx_CCbt,AAhpx_BBlsx_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs,Average
DDcy,,-35.42,-10.51,36.80,51.87,17.33,-24.05,-96.23,-15.61,-22.11,-10.88
,  EEmz,-72.09,-7.28,-43.71,99.83,20.87,64.94,-93.03,-57.61,-17.89,-11.77
,  EEqz,53.39,-10.00,77.72,93.07,19.86,-67.16,-96.81,-57.39,-23.43,-1.19
,  EEbkv,-87.57,-14.25,76.40,-37.29,11.26,-69.93,-98.86,68.16,-25.00,-19.68
DDmx,,-38.08,-13.54,-7.55,5.42,14.09,-26.19,-23.92,-59.92,-24.11,-19.31
,  EEkqy,49.56,-15.46,-51.72,92.26,15.02,-68.16,-97.85,-59.88,-25.10,-17.93
,  EEmz,-89.94,-15.91,75.29,-41.71,6.44,-72.59,-7.31,-63.63,-28.65,-26.45
,  EEcrv,-73.87,-9.24,-46.22,-34.29,20.82,62.18,33.40,-56.26,-18.57,-13.56
Average,,-36.75,-12.02,14.63,28.64,15.71,-25.12,-60.08,-37.77,-23.11,-15.10
,  ,-36.75,-12.02,14.63,28.64,15.71,-25.12,-60.08,-37.77,-23.11,-15.10
