CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBcjx,EE,FF
Minimum,,36.68,75.89,12.13,50.24,,
,  ,36.68,75.89,12.13,50.24,,
CCkqy,,40.60,83.63,15.30,60.40,,
,  DDbkv,49.48,94.25,34.46,75.44,EEmz,FFbpv
,  DDbsz,46.83,89.35,20.94,64.59,EEhpx,FFbpv
,  DDcwz,40.60,83.63,15.30,60.40,EEmz,FFbpv
CCcy,,40.85,82.60,13.77,59.74,,
,  DDbkv,40.85,82.60,13.77,59.74,EEhpx,FFlmr
,  DDbmz,44.13,88.70,20.43,63.21,EEmz,FFlmr
,  DDmx,46.39,92.81,33.81,71.20,EEhpx,FFlmr
CCbt,,36.68,75.89,12.13,50.24,,
,  DDhpt,43.59,87.40,18.08,63.74,EEhpx,FFgqt
,  DDmpy,47.30,91.59,32.23,69.10,EEmz,FFgqt
,  DDmx,36.68,75.89,12.13,50.24,EEmz,FFgqt
