CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBcjx,EE,FF
CCbt,,24.08,69.60,1.94,46.82,,
,  DDhpt,28.05,77.65,4.39,60.57,EEhpx,FFgqt
,  DDmx,24.08,69.60,1.94,46.82,EEmz,FFgqt
,  DDmpy,39.54,87.88,14.95,66.83,EEmz,FFgqt
CCcy,,26.24,72.99,2.52,50.10,,
,  DDbkv,26.24,72.99,2.52,50.10,EEhpx,FFlmr
,  DDbmz,28.37,82.77,5.10,63.30,EEmz,FFlmr
,  DDhlt,41.57,88.01,20.44,67.80,EEhpx,FFlmr
CCkqy,,26.07,74.02,3.74,54.94,,
,  DDbsz,32.43,86.51,13.79,65.60,EEhpx,FFbpv
,  DDmx,44.95,94.31,21.74,69.75,EEmz,FFbpv
,  DDcwz,26.07,74.02,3.74,54.94,EEmz,FFbpv
Minimum,,24.08,69.60,1.94,46.82,,
,  ,24.08,69.60,1.94,46.82,,
