CC,DD,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,Minimum
CCfnw,,13.97,56.20,28.43,72.10,3.87,81.27,42.92,3.87
,  DDgv,23.31,67.08,36.74,75.03,10.58,93.83,52.86,10.58
,  DDqz,21.34,61.00,31.67,76.22,7.79,90.15,48.28,7.79
,  DDkrs,13.97,56.20,28.43,72.10,3.87,81.27,42.92,3.87
CChpx,,17.60,55.73,28.75,73.59,4.46,86.97,43.26,4.46
,  DDmx,26.39,68.25,39.76,81.34,7.90,99.91,55.09,7.90
,  DDcmp,22.70,65.41,33.61,76.71,8.55,90.61,51.60,8.55
,  DDlmr,17.60,55.73,28.75,73.59,4.46,86.97,43.26,4.46
CCbt,,12.33,56.25,27.13,71.40,1.22,81.06,41.02,1.22
,  DDbmz,23.22,67.91,35.34,76.70,9.52,92.27,52.60,9.52
,  DDmx,12.33,56.25,27.13,71.40,1.22,81.06,41.02,1.22
,  DDcwz,19.90,59.24,28.17,75.34,6.67,89.20,47.03,6.67
Minimum,,12.33,55.73,27.13,71.40,1.22,81.06,41.02,1.22
,  ,12.33,55.73,27.13,71.40,1.22,81.06,41.02,1.22
