Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,772.34
AApqr,BBnqx,CCbt,DDcy,EEbkv,517.75
AApqr,BBnqx,CCbt,DDcjx,EEkqy,10.9
AApqr,BBnqx,CCbt,DDmx,EEqz,789.45
AApqr,BBnqx,CCbt,DDcy,EEcrv,409.5
AApqr,BBnqx,CCbt,DDcjx,EEdhv,797.96
AApqr,BBnqx,CCbt,DDmx,EEbhk,670.16
AApqr,BBnqx,CCbt,DDcy,EEmpy,928.76
AApqr,BBnqx,CCbt,DDcjx,EEmz,291.98
AApqr,BBfnw,CCbt,DDmx,EEmz,934.52
AApqr,BBfnw,CCbt,DDcy,EEbkv,553.66
AApqr,BBfnw,CCbt,DDcjx,EEkqy,554.43
AApqr,BBfnw,CCbt,DDmx,EEqz,554.54
AApqr,BBfnw,CCbt,DDcy,EEcrv,173.8
AApqr,BBfnw,CCbt,DDcjx,EEdhv,48.85
AApqr,BBfnw,CCbt,DDmx,EEbhk,561.23
AApqr,BBfnw,CCbt,DDcy,EEmpy,55.58
AApqr,BBfnw,CCbt,DDcjx,EEmz,567.73
AApqr,BBlmr,CCbt,DDmx,EEmz,439.59
AApqr,BBlmr,CCbt,DDcy,EEbkv,830.83
AApqr,BBlmr,CCbt,DDcjx,EEkqy,192.58
AApqr,BBlmr,CCbt,DDmx,EEqz,321.76
AApqr,BBlmr,CCbt,DDcy,EEcrv,711.39
AApqr,BBlmr,CCbt,DDcjx,EEdhv,201.07
AApqr,BBlmr,CCbt,DDmx,EEbhk,714.21
AApqr,BBlmr,CCbt,DDcy,EEmpy,587.15
AApqr,BBlmr,CCbt,DDcjx,EEmz,335.25
AApqr,BBnqx,CCbt,DDmx,EEmz,85.01
AApqr,BBnqx,CCbt,DDcy,EEbkv,216.97
AApqr,BBnqx,CCbt,DDcjx,EEkqy,856.75
AApqr,BBnqx,CCbt,DDmx,EEqz,90.73
AApqr,BBnqx,CCbt,DDcy,EEcrv,344.73
AApqr,BBnqx,CCbt,DDcjx,EEdhv,606.81
AApqr,BBnqx,CCbt,DDmx,EEbhk,997.42
AApqr,BBnqx,CCbt,DDcy,EEmpy,614.92
AApqr,BBnqx,CCbt,DDcjx,EEmz,362.1
AApqr,BBfnw,CCbt,DDmx,EEmz,113.1
AApqr,BBfnw,CCbt,DDcy,EEbkv,242.81
AApqr,BBfnw,CCbt,DDcjx,EEkqy,882.21
AApqr,BBfnw,CCbt,DDmx,EEqz,884.74
AApqr,BBfnw,CCbt,DDcy,EEcrv,627.62
AApqr,BBfnw,CCbt,DDcjx,EEdhv,506.34
AApqr,BBfnw,CCbt,DDmx,EEbhk,504.93
AApqr,BBfnw,CCbt,DDcy,EEmpy,250.92
AApqr,BBfnw,CCbt,DDcjx,EEmz,511.28
