AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,643.52
AAdk,BBtw,CChv,DDtv,EEmn,19.08
AAdk,BBtw,CChv,DDnt,EEfh,281.32
AAdk,BBtw,CChv,DDtv,EElp,539.37
AAdk,BBtw,CChv,DDnt,EEfx,284.89
AAdk,BBtw,CChv,DDtv,EEdn,925.96
AAdk,BBst,CChv,DDnt,EEdn,29.1
AAdk,BBst,CChv,DDtv,EEmn,283.62
AAdk,BBst,CChv,DDnt,EEfh,937.1
AAdk,BBst,CChv,DDtv,EElp,813.76
AAdk,BBst,CChv,DDnt,EEfx,430.52
AAdk,BBst,CChv,DDtv,EEdn,51.38
AAdk,BBrz,CChv,DDnt,EEdn,309.51
AAdk,BBrz,CChv,DDtv,EEmn,183.18
AAdk,BBrz,CChv,DDnt,EEfh,441.61
AAdk,BBrz,CChv,DDtv,EElp,201.99
AAdk,BBrz,CChv,DDnt,EEfx,588.16
AAdk,BBrz,CChv,DDtv,EEdn,334.29
AAdk,BBtw,CChv,DDnt,EEdn,80.51
AAdk,BBtw,CChv,DDtv,EEmn,983.85
AAdk,BBtw,CChv,DDnt,EEfh,856.85
AAdk,BBtw,CChv,DDtv,EElp,733.35
AAdk,BBtw,CChv,DDnt,EEfx,353.08
AAdk,BBtw,CChv,DDtv,EEdn,99.73
AAdk,BBst,CChv,DDnt,EEdn,869.71
AAdk,BBst,CChv,DDtv,EEmn,230.61
AAdk,BBst,CChv,DDnt,EEfh,618.06
AAdk,BBst,CChv,DDtv,EElp,116.67
AAdk,BBst,CChv,DDnt,EEfx,502.52
AAdk,BBst,CChv,DDtv,EEdn,759.58
