AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,987.48
AAdk,BBtw,CCst,DDnw,366.51
AAdk,BBtw,CCbx,DDrz,750.19
AAdk,BBtw,CChv,DDcl,464.93
AAdk,BBtw,CCst,DDlp,273.9
AAdk,BBtw,CCbx,DDcs,466.19
AAdk,BBrv,CChv,DDnt,18.21
AAdk,BBrv,CCst,DDnw,339.52
AAdk,BBrv,CCbx,DDrz,913.53
AAdk,BBrv,CChv,DDcl,208.68
AAdk,BBrv,CCst,DDlp,401.42
AAdk,BBrv,CCbx,DDcs,658.43
AAdk,BBtw,CChv,DDnt,660.29
AAdk,BBtw,CCst,DDnw,955.56
AAdk,BBtw,CCbx,DDrz,92.66
AAdk,BBtw,CChv,DDcl,61.85
AAdk,BBtw,CCst,DDlp,702.13
AAdk,BBtw,CCbx,DDcs,959.34
