CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AAfnw_BBgv,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,Minimum,EE,FF
CCbt,,20.37,62.73,90.83,79.38,5.72,39.14,5.72,,
,  DDmx,20.37,62.73,90.83,79.38,5.72,39.14,5.72,EEmz,FFgqt
,  DDbmz,37.24,77.10,95.52,86.72,18.21,51.63,18.21,EEmz,FFgqt
,  DDcwz,23.59,68.94,92.40,83.67,7.23,42.63,7.23,EEmz,FFgqt
CCcy,,23.87,65.28,90.44,82.30,7.13,41.06,7.13,,
,  DDmx,39.68,78.70,97.48,89.93,19.05,52.07,19.05,EEmz,FFlmr
,  DDbkv,23.87,65.28,90.44,82.30,7.13,41.06,7.13,EEmz,FFlmr
,  DDhpt,33.02,70.98,94.96,84.23,12.80,47.39,12.80,EEmz,FFlmr
Minimum,,20.37,62.73,90.44,79.38,5.72,39.14,5.72,,
,  ,20.37,62.73,90.44,79.38,5.72,39.14,5.72,,
