DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,Maximum
DDmx,EEbhk,15.44,16.25,3.84,5.01,24.14,21.35,24.14
,EEmz,8.69,14.84,18.09,0.68,18.19,18.87,18.87
,EEqz,12.58,15.12,22.15,3.95,18.01,19.98,22.15
DDcjx,EEdhv,14.74,16.74,25.69,3.03,18.13,21.62,25.69
,EEkqy,11.71,0.30,22.54,2.53,19.25,18.33,22.54
,EEbkv,16.71,17.49,13.34,8.93,26.09,2.82,26.09
DDcy,EEcrv,12.22,3.21,25.68,3.89,22.85,20.10,25.68
,EEmz,16.96,17.56,9.29,4.94,24.41,1.51,24.41
,EEbkv,4.61,15.49,21.74,1.65,18.72,18.99,21.74
Maximum,,16.96,17.56,25.69,8.93,26.09,21.62,26.09
