DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCcqx,Average
DDcjx,,-11.12,-12.86,-47.78,-26.94,91.71,-28.37,-5.89
,  EEkqy,64.73,-23.41,33.84,1.93,85.13,-80.49,13.62
,  EEmz,-47.65,-2.23,-87.61,-98.20,96.37,-65.01,-34.05
,  EEdhv,-50.43,-12.93,-89.56,15.44,93.62,60.38,2.75
DDcy,,27.61,-15.76,-92.51,10.39,46.54,9.21,-2.42
,  EEbkv,63.46,-28.19,-96.32,0.53,-45.94,-88.05,-32.42
,  EEmpy,-48.21,-4.89,-87.32,23.92,93.20,62.95,6.61
,  EEcrv,67.59,-14.19,-93.90,6.73,92.37,52.74,18.56
DDmx,,27.54,21.64,-8.57,6.90,44.49,-34.23,9.63
,  EEbhk,79.66,-11.49,39.62,18.30,94.34,-68.63,25.30
,  EEmz,64.87,97.52,30.05,-0.60,-46.44,-85.49,9.99
,  EEqz,-61.91,-21.10,-95.38,3.00,85.57,51.42,-6.40
