CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,EE,FF
Minimum,,48.52,8.63,26.36,68.99,,
,  ,48.52,8.63,26.36,68.99,,
CCcy,,49.19,11.69,27.52,68.99,,
,  DDmx,66.47,21.47,43.01,91.67,EEhpx,FFlmr
,  DDbmz,57.31,17.73,31.07,83.24,EEmz,FFlmr
,  DDbkv,49.19,11.69,27.52,68.99,EEhpx,FFlmr
CCkqy,,48.52,12.01,27.91,79.10,,
,  DDcwz,48.52,12.01,27.91,79.10,EEmz,FFbpv
,  DDbsz,58.44,18.19,33.52,90.32,EEhpx,FFbpv
,  DDbkv,68.29,21.53,48.74,97.69,EEmz,FFbpv
CCbt,,49.44,8.63,26.36,69.60,,
,  DDmx,49.44,8.63,26.36,69.60,EEmz,FFgqt
,  DDmpy,65.93,18.85,38.23,90.93,EEmz,FFgqt
,  DDhpt,56.97,16.53,30.38,79.91,EEhpx,FFgqt
