DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCcqx,AAgqt_BBfnw_CCbpv,AAgqt_BBfnw_CCkrs
Maximum,,7.66,20.61,26.70,27.55,16.31
,  ,7.66,20.61,26.70,27.55,16.31
DDcjx,,7.39,20.61,26.70,25.81,16.16
,  EEkqy,2.83,0.21,13.47,25.81,11.73
,  EEdhv,5.22,18.76,15.90,4.65,14.54
,  EEmz,7.39,20.61,26.70,2.11,16.16
DDcy,,7.66,17.48,25.11,26.97,16.31
,  EEcrv,2.24,17.48,19.10,26.97,12.65
,  EEbkv,1.28,12.55,17.64,26.21,10.66
,  EEmpy,7.66,7.63,25.11,8.30,16.31
DDmx,,3.88,19.55,17.61,27.55,13.89
,  EEqz,3.88,16.77,16.74,23.01,11.06
,  EEbhk,3.08,19.55,17.13,7.26,13.89
,  EEmz,0.54,9.99,17.61,27.55,9.94
