CC,DD,AAmz_BBbpv,AAmz_BBgqt,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt
Minimum,,52.33,14.70,82.04,0.60,34.67,26.47,70.79
,  ,52.33,14.70,82.04,0.60,34.67,26.47,70.79
CCbt,,52.33,14.70,82.04,0.60,34.67,26.47,70.79
,  DDbmz,65.16,14.70,91.09,14.18,43.06,34.54,77.07
,  DDmx,52.33,16.78,82.99,0.60,34.67,26.47,70.79
,  DDcwz,59.88,20.29,82.04,10.02,42.20,31.78,73.17
CCfnw,,57.56,17.32,82.91,1.89,40.68,27.76,71.72
,  DDkrs,57.56,17.32,82.91,1.89,40.68,27.76,71.72
,  DDmx,65.10,19.36,94.22,14.49,50.75,36.02,77.87
,  DDqz,63.93,21.31,88.92,11.93,43.78,32.60,75.43
CChpx,,58.46,16.03,85.97,9.80,40.47,28.05,73.78
,  DDkrs,69.46,25.23,97.35,16.16,51.52,37.21,82.01
,  DDlmr,58.46,19.52,85.97,9.80,40.47,28.05,73.78
,  DDcmp,65.26,16.03,89.38,12.94,44.84,34.87,76.08
