DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCbt,AApqr_BBnqx_CCbt
DDmx,,-48.26,-4.55,18.76,-90.70,34.28,14.41
,  EEqz,-87.59,98.16,-46.21,-92.52,68.97,11.57
,  EEksy,-74.57,-13.58,84.50,-84.05,68.31,25.51
,  EEbhk,53.51,-16.93,86.99,-88.75,68.86,14.13
,  EEmz,-84.40,-85.84,-50.26,-97.50,-69.02,6.41
DDcjx,,-13.26,12.88,54.84,-24.25,7.73,17.29
,  EEkqy,-79.85,94.91,82.08,-91.49,-61.64,10.00
,  EEbkv,55.23,-3.86,91.73,-87.86,-51.30,27.63
,  EEdhv,-82.55,-24.12,-43.35,40.97,70.54,13.67
,  EEhq,54.12,-15.42,88.92,41.36,73.32,17.88
DDcy,,-43.68,-21.56,19.80,8.47,-58.14,16.18
,  EEcrv,51.79,-28.55,82.90,39.68,-60.23,12.94
,  EEmpy,-74.62,-16.19,-44.21,41.13,-56.52,16.58
,  EEbkv,-80.68,-34.38,79.20,-92.71,-62.41,9.93
,  EEmz,-71.19,-7.11,-38.69,45.77,-53.40,25.28
Average,,-35.07,-4.41,31.13,-35.50,-5.38,15.96
,  ,-35.07,-4.41,31.13,-35.50,-5.38,15.96
