AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,645.8
AApqr,BBnqx,CCbt,DDcy,EEbkv,892.09
AApqr,BBnqx,CCbt,DDcjx,EEkqy,648.19
AApqr,BBnqx,CCbt,DDmx,EEqz,396.92
AApqr,BBnqx,CCbt,DDcy,EEcrv,911.9
AApqr,BBnqx,CCbt,DDcjx,EEdhv,529.23
AApqr,BBnqx,CCbt,DDmx,EEbhk,894.96
AApqr,BBnqx,CCbt,DDcy,EEmpy,20.94
AApqr,BBnqx,CCbt,DDcjx,EEmz,544.15
AApqr,BBfnw,CCbt,DDmx,EEmz,33.71
AApqr,BBfnw,CCbt,DDcy,EEbkv,163.98
AApqr,BBfnw,CCbt,DDcjx,EEkqy,164.34
AApqr,BBfnw,CCbt,DDmx,EEqz,427.68
AApqr,BBfnw,CCbt,DDcy,EEcrv,428.51
AApqr,BBfnw,CCbt,DDcjx,EEdhv,300.08
AApqr,BBfnw,CCbt,DDmx,EEbhk,686.58
AApqr,BBfnw,CCbt,DDcy,EEmpy,435.6
AApqr,BBfnw,CCbt,DDcjx,EEmz,54.63
AApqr,BBlmr,CCbt,DDmx,EEmz,822.47
AApqr,BBlmr,CCbt,DDcy,EEbkv,952.73
AApqr,BBlmr,CCbt,DDcjx,EEkqy,706.59
AApqr,BBlmr,CCbt,DDmx,EEqz,328.26
AApqr,BBlmr,CCbt,DDcy,EEcrv,329.06
AApqr,BBlmr,CCbt,DDcjx,EEdhv,585.92
AApqr,BBlmr,CCbt,DDmx,EEbhk,972.99
AApqr,BBlmr,CCbt,DDcy,EEmpy,334.75
AApqr,BBlmr,CCbt,DDcjx,EEmz,334.34
AApqr,BBnqx,CCbt,DDmx,EEmz,595.21
AApqr,BBnqx,CCbt,DDcy,EEbkv,212.97
AApqr,BBnqx,CCbt,DDcjx,EEkqy,729.1
AApqr,BBnqx,CCbt,DDmx,EEqz,346.38
AApqr,BBnqx,CCbt,DDcy,EEcrv,218.7
AApqr,BBnqx,CCbt,DDcjx,EEdhv,93.25
AApqr,BBnqx,CCbt,DDmx,EEbhk,733.73
AApqr,BBnqx,CCbt,DDcy,EEmpy,95.46
AApqr,BBnqx,CCbt,DDcjx,EEmz,994.24
AApqr,BBfnw,CCbt,DDmx,EEmz,487.77
AApqr,BBfnw,CCbt,DDcy,EEbkv,232.21
AApqr,BBfnw,CCbt,DDcjx,EEkqy,878.64
AApqr,BBfnw,CCbt,DDmx,EEqz,114.0
AApqr,BBfnw,CCbt,DDcy,EEcrv,244.75
AApqr,BBfnw,CCbt,DDcjx,EEdhv,887.69
AApqr,BBfnw,CCbt,DDmx,EEbhk,252.51
AApqr,BBfnw,CCbt,DDcy,EEmpy,381.63
AApqr,BBfnw,CCbt,DDcjx,EEmz,894.98
