DD,EE,AArv_BBst_CCnw,AAdk_BBst_CCdl,AAdk_BBtw_CChv,AAbx_BBtw_CCdt,Maximum
DDpw,,18.58,10.10,9.61,23.23,23.23
,  EEdn,18.58,2.81,9.61,22.77,22.77
,  EEfh,12.43,10.10,3.13,18.30,18.30
,  EEhr,14.01,2.01,6.62,23.23,23.23
DDnt,,16.39,25.69,6.03,25.70,25.70
,  EEdn,9.52,25.69,0.99,19.12,25.69
,  EElp,12.01,11.35,4.92,15.25,15.25
,  EEhl,16.39,16.67,6.03,25.70,25.70
DDtv,,14.66,27.24,8.19,25.13,27.24
,  EEmn,9.79,27.24,2.66,20.54,27.24
,  EEfx,14.15,15.44,5.04,23.61,23.61
,  EEkz,14.66,3.50,8.19,25.13,25.13
