DD,EE,AAhpx_BBbwx_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AApqr_BBnry_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCbt
DDcjx,EEcrv,-2.75,55.00,-75.02,81.53,-59.77,18.93,28.08,-34.64,99.51
,EEhq,-11.66,46.01,-90.38,74.21,-63.11,12.74,22.49,-46.86,90.29
,EEdhv,-17.10,42.69,-92.16,69.55,-64.38,9.03,24.82,-50.06,87.34
,EEbkv,-6.34,46.21,-89.39,77.08,-58.81,15.68,30.29,-41.95,96.92
,EEkqy,-27.74,36.01,-9.90,61.59,-67.80,4.02,18.23,-52.20,82.76
DDcy,EEmz,-9.21,43.22,-87.21,75.49,-60.91,13.85,29.36,-43.55,95.14
,EEqz,-3.39,51.82,-81.60,75.22,-56.89,12.28,32.25,-37.27,94.89
,EEcrv,-22.77,42.93,-99.80,64.40,-65.20,6.37,23.31,-50.08,88.32
,EEbkv,-26.68,35.31,0.39,57.34,-68.44,2.24,20.22,-60.45,83.91
,EEmpy,-14.69,44.91,-90.02,73.74,-63.00,11.54,26.34,-47.86,90.34
DDmx,EEmz,-27.63,30.56,-65.17,56.82,-70.17,1.08,19.64,-58.93,81.15
,EEbhk,-14.40,43.51,-91.48,71.68,-64.13,10.29,17.22,-57.53,90.01
,EEqz,-24.58,40.49,-0.45,63.00,-66.95,5.01,22.99,-51.45,87.80
,EEksy,-10.80,45.64,-89.41,75.25,-60.21,13.60,28.24,-43.08,94.57
,EEkqy,-5.04,51.42,-84.40,78.20,-59.57,16.79,30.57,-38.03,97.62
Average,,-14.99,43.72,-69.73,70.34,-63.29,10.23,24.94,-47.60,90.70
