CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBhpt,AAcy_BBbkv
CCfnw,,0.79,-22.56,11.28,-12.91,1.76,59.30,-13.93
,  DDmx,39.44,83.38,23.63,-4.90,-58.12,98.42,-74.73
,  DDkrs,26.56,-58.11,1.47,-30.42,59.50,84.22,46.23
,  DDcmp,33.95,-60.72,10.93,-11.82,68.07,-33.87,-75.36
,  DDcwz,-96.78,-54.78,9.10,-4.51,-62.40,88.43,48.14
CCbt,,0.03,73.59,8.45,12.67,-0.06,32.56,-16.98
,  DDlmr,-97.26,73.84,6.59,-23.71,64.55,86.15,47.09
,  DDmx,26.06,70.27,0.31,99.40,-72.45,84.83,40.05
,  DDbmz,38.11,80.64,17.60,-7.87,-59.19,-33.58,-75.79
,  DDqz,33.23,69.60,9.31,-17.15,66.86,-7.15,-79.27
