DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs
DDcy,EEkqy,-77.51,-50.52,-2.06,-63.96
,EEmpy,40.20,76.78,99.49,53.47
,EEcrv,21.09,-56.68,-32.59,57.01
,EEjvz,-80.52,-52.35,-9.77,63.01
,EEbkv,6.63,68.38,-40.48,-74.61
DDcjx,EEkqy,10.18,70.94,91.18,55.39
,EEhq,-83.99,-51.46,-26.45,-67.81
,EEqz,51.16,-47.72,-1.88,63.10
,EEmz,-79.94,-48.37,-7.83,64.78
,EEdhv,30.92,72.00,99.31,-70.84
DDmx,EEbhk,-91.71,74.73,-29.27,56.03
,EEqz,13.96,71.32,-34.63,55.90
,EEmz,0.69,68.86,-44.23,53.89
,EEbkv,50.19,-48.56,-4.96,65.06
,EEksy,-81.11,-51.43,-20.57,61.25
Average,,-17.98,6.39,2.35,24.78
