DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs
DDcy,EEbkv,54.38,93.10,-76.11,-65.05,-95.40
,EEcrv,56.55,94.72,9.07,68.84,-92.61
,EEkqy,-62.33,-14.84,-99.52,85.18,-77.72
,EEjvz,-66.74,-22.82,56.32,78.40,-82.55
,EEmpy,58.30,-30.10,62.12,78.70,-69.64
DDmx,EEksy,62.97,-25.65,24.28,79.62,44.67
,EEmz,53.39,91.27,1.73,-60.56,-70.27
,EEbkv,-63.33,-17.70,29.41,-45.91,-79.13
,EEbhk,-72.45,98.30,-74.01,74.98,35.49
,EEqz,56.33,-34.87,9.47,-57.37,34.95
DDcjx,EEhq,61.23,-26.40,23.12,79.38,43.94
,EEmz,-64.97,-17.89,28.12,78.04,-82.70
,EEdhv,-73.18,-31.19,11.60,74.73,35.46
,EEkqy,-74.72,-34.09,6.03,70.50,34.18
,EEqz,-61.91,-12.66,-99.77,90.89,-76.33
Average,,-9.10,7.28,-5.88,42.02,-33.18
