CC,DD,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBknr,AAfnw_BBbgp,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCcy,,42.23,74.27,1.29,16.90,84.63,49.99,58.80,24.23,1.29,,
,  DDbkv,42.23,74.27,1.29,16.90,84.63,49.99,58.80,24.23,1.29,EEmz,FFgqt
,  DDhpt,44.55,76.19,5.90,17.79,97.11,52.68,61.91,31.61,5.90,EEmz,FFgqt
,  DDmx,47.82,78.18,14.05,21.80,98.70,56.50,67.25,34.39,14.05,EEmz,FFgqt
CCbt,,41.51,72.23,1.95,15.37,80.90,48.23,57.55,22.35,1.95,,
,  DDcwz,41.51,75.44,4.06,16.39,93.35,50.13,59.08,27.30,4.06,EEmz,FFgqt
,  DDbmz,45.37,76.81,11.33,15.89,98.83,52.19,64.81,32.61,11.33,EEmz,FFgqt
,  DDmx,41.61,72.23,1.95,15.37,80.90,48.23,57.55,22.35,1.95,EEmz,FFgqt
Minimum,,41.51,72.23,1.29,15.37,80.90,48.23,57.55,22.35,1.29,,
,  ,41.51,72.23,1.29,15.37,80.90,48.23,57.55,22.35,1.29,,
