CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,EE,FF
CCbt,,29.44,68.90,81.52,1.01,37.87,47.43,11.78,,
,  DDmx,29.44,68.90,81.52,1.01,37.87,47.43,11.78,EEmz,FFgqt
,  DDbmz,34.90,75.05,92.73,5.51,40.41,67.32,24.80,EEmz,FFlmr
,  DDcwz,32.36,73.54,88.24,1.15,40.65,56.27,17.51,EEmz,FFbpv
CCcy,,31.43,72.80,81.63,2.22,37.75,51.90,15.20,,
,  DDhpt,33.99,75.33,91.95,4.88,40.03,65.65,17.38,EEhpx,FFgqt
,  DDmx,35.07,75.61,96.95,11.69,45.18,68.99,27.66,EEhpx,FFbpv
,  DDbkv,31.43,72.80,81.63,2.22,37.75,51.90,15.20,EEhpx,FFlmr
Minimum,,29.44,68.90,81.52,1.01,37.75,47.43,11.78,,
,  ,29.44,68.90,81.52,1.01,37.75,47.43,11.78,,
