CC,DD,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCbt,,44.55,83.25,2.46,24.17,59.54,73.77,38.40,2.46,,
,  DDbmz,57.08,97.21,16.41,35.44,66.46,80.77,44.01,16.41,EEmz,FFgqt
,  DDcwz,52.22,86.58,10.00,31.08,63.69,78.47,40.67,10.00,EEmz,FFgqt
,  DDmx,44.55,83.25,2.46,24.17,59.54,73.77,38.40,2.46,EEmz,FFgqt
CCcy,,45.83,80.24,7.12,26.70,60.76,78.85,39.35,7.12,,
,  DDbkv,45.83,80.24,7.12,26.70,60.76,78.85,39.35,7.12,EEmz,FFgqt
,  DDhpt,55.32,91.36,13.48,31.36,65.86,80.40,40.38,13.48,EEmz,FFgqt
,  DDbsz,58.58,97.00,18.21,36.29,69.27,82.20,44.88,18.21,EEmz,FFgqt
Minimum,,44.55,80.24,2.46,24.17,59.54,73.77,38.40,2.46,,
,  ,44.55,80.24,2.46,24.17,59.54,73.77,38.40,2.46,,
