DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt
Average,,7.74,-24.65,3.93,-8.33
,  ,7.74,-24.65,3.93,-8.33
DDmx,,5.08,-28.01,2.29,-22.82
,  EEbhk,9.42,-50.36,37.88,-17.75
,  EEksy,9.64,88.54,46.60,-9.95
,  EEqz,0.88,-73.94,-98.62,-28.75
,  EEmz,0.38,-76.29,23.28,-34.83
DDcy,,7.18,8.61,35.80,14.37
,  EEbkv,1.15,52.21,28.12,96.17
,  EEmz,10.91,91.92,48.40,-3.66
,  EEmpy,10.89,-46.50,37.02,-12.72
,  EEcrv,5.76,-63.20,29.66,-22.33
DDcjx,,10.97,-54.54,-26.30,-16.54
,  EEdhv,7.43,-61.74,-94.02,-22.61
,  EEbkv,22.53,-35.51,48.04,-2.64
,  EEhq,11.73,-46.85,-88.19,-10.81
,  EEkqy,2.20,-74.05,28.96,-30.11
