CC,DD,AApqr_BBbkv,AApqr_BBnqx,AAmz_BBcjx,AAmz_BBgqt
CCfnw,DDlmr,-42.12,36.92,-20.87,68.57
,DDknr,-46.45,29.61,-25.96,-67.32
,DDgv,-50.67,23.70,-31.95,55.20
,DDqz,-53.44,15.47,-37.06,-81.45
,DDkrs,-57.80,10.41,-47.45,-84.04
CChpx,DDlmr,72.34,11.39,91.44,45.95
,DDmx,-44.41,31.09,-24.29,-65.77
,DDdlz,-47.02,27.14,97.90,-68.90
,DDcmp,-54.19,20.75,94.62,-80.66
,DDcwz,87.33,-90.84,-8.23,69.50
CCbt,DDmx,-58.10,7.25,88.58,40.91
,DDkrs,82.91,-93.58,-24.11,65.88
,DDmpy,-46.60,28.00,-27.03,61.43
,DDcwz,-54.42,12.27,-36.91,45.83
,DDbmz,75.27,21.83,-32.68,-79.80
Average,,-15.82,6.09,3.73,-4.98
