CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv,Minimum
CChpx,DDkrs,95.66,9.07,50.65,70.20,20.21,79.82,35.86,9.07
,DDcmp,96.17,5.72,41.73,60.55,17.51,75.37,30.47,5.72
,DDlmr,93.64,3.00,40.57,53.30,13.81,75.00,25.66,3.00
CCbt,DDcwz,94.88,4.30,41.26,53.01,15.78,75.40,26.98,4.30
,DDmx,84.81,1.58,37.09,51.95,7.65,74.91,20.07,1.58
,DDbmz,97.04,6.32,47.89,61.10,18.02,80.25,34.26,6.32
CCfnw,DDkrs,91.83,2.41,36.78,51.41,13.99,75.49,17.90,2.41
,DDmx,97.76,8.64,47.24,67.42,19.99,81.35,35.50,8.64
,DDqz,94.86,5.10,42.66,59.64,16.92,78.58,26.51,5.10
Minimum,,84.81,1.58,36.78,51.41,7.65,74.91,17.90,1.58
