Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,387.32
AAdk,BBtw,CCst,DDnw,260.82
AAdk,BBtw,CCbx,DDrz,262.06
AAdk,BBtw,CChv,DDcl,647.4
AAdk,BBtw,CCst,DDlp,137.17
AAdk,BBtw,CCbx,DDcs,397.52
AAdk,BBtw,CChv,DDhm,398.46
AAdk,BBtw,CCst,DDdf,532.84
AAdk,BBtw,CCbx,DDjn,277.56
AAdk,BBrv,CChv,DDnt,790.64
AAdk,BBrv,CCst,DDnw,25.49
AAdk,BBrv,CCbx,DDrz,543.33
AAdk,BBrv,CChv,DDcl,31.47
AAdk,BBrv,CCst,DDlp,34.55
AAdk,BBrv,CCbx,DDcs,677.53
AAdk,BBrv,CChv,DDhm,42.95
AAdk,BBrv,CCst,DDdf,939.26
AAdk,BBrv,CCbx,DDjn,45.92
AAdk,BBmn,CChv,DDnt,941.96
AAdk,BBmn,CCst,DDnw,176.65
AAdk,BBmn,CCbx,DDrz,305.16
AAdk,BBmn,CChv,DDcl,818.09
AAdk,BBmn,CCst,DDlp,436.55
AAdk,BBmn,CCbx,DDcs,703.06
AAdk,BBmn,CChv,DDhm,580.93
AAdk,BBmn,CCst,DDdf,837.91
AAdk,BBmn,CCbx,DDjn,715.08
AAdk,BBtw,CChv,DDnt,587.97
AAdk,BBtw,CCst,DDnw,978.57
AAdk,BBtw,CCbx,DDrz,979.18
AAdk,BBtw,CChv,DDcl,598.87
AAdk,BBtw,CCst,DDlp,347.85
AAdk,BBtw,CCbx,DDcs,487.92
AAdk,BBtw,CChv,DDhm,498.78
AAdk,BBtw,CCst,DDdf,627.57
AAdk,BBtw,CCbx,DDjn,251.51
