CC,DD,AAdn_BBhr,AAdn_BBrv,AAdn_BBdl,AAdk_BBtw,AAdk_BBqx,AAdk_BBpw,AAtv_BBhz,AAtv_BBmn
Minimum,,90.54,25.46,63.32,13.07,79.45,49.47,71.50,35.53
,  ,90.54,25.46,63.32,13.07,79.45,49.47,71.50,35.53
CChv,,91.77,25.46,63.32,13.07,79.45,49.47,71.50,35.54
,  DDnt,91.77,25.46,63.32,13.07,79.45,49.47,71.50,35.54
,  DDrz,93.99,27.73,66.14,17.19,83.06,52.64,73.92,37.57
,  DDlp,98.68,32.30,70.41,20.80,87.22,59.29,73.14,44.72
CCst,,90.54,27.28,64.64,16.10,82.89,51.62,73.41,35.53
,  DDcs,99.04,33.51,71.78,25.70,90.96,61.73,77.01,47.08
,  DDnw,92.41,27.28,64.64,16.10,82.89,51.62,73.41,35.53
,  DDcl,90.54,30.30,69.77,18.93,87.40,55.40,75.83,40.31
