CC,DD,AAdk_BBmn,AAdk_BBtw,AAdk_BBdl,AAdn_BBpw,AAdn_BBrv
CCbx,,-16.16,19.30,22.63,43.86,6.68
,  DDrz,65.35,8.57,94.42,80.40,-89.21
,  DDcs,-58.76,22.17,-20.84,88.23,50.12
,  DDnt,-55.06,27.15,-5.70,-37.06,59.12
CCst,,-18.22,14.43,14.76,41.17,-41.29
,  DDlp,67.81,21.55,93.76,87.14,-87.38
,  DDdf,-58.25,21.44,-13.84,89.36,54.32
,  DDnw,-64.22,0.30,-35.64,-52.98,-90.80
CChv,,66.22,11.00,9.95,-4.32,-0.94
,  DDnt,60.24,0.81,-38.40,-55.24,32.44
,  DDcl,66.44,9.70,88.17,81.43,-88.40
,  DDhm,71.97,22.50,-19.92,-39.14,53.15
Average,,10.61,14.91,15.78,26.90,-11.85
,  ,10.61,14.91,15.78,26.90,-11.85
