CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,Minimum
CCcy,DDhlt,EEhpx,FFlmr,36.24,66.20,57.10,25.88,97.55,25.88
,DDbmz,EEmz,FFlmr,33.99,65.85,51.34,17.31,90.37,17.31
,DDbkv,EEhpx,FFlmr,30.04,60.59,42.59,4.76,84.32,4.76
CCkqy,DDcwz,EEmz,FFbpv,31.47,62.54,43.21,9.42,84.00,9.42
,DDbsz,EEhpx,FFbpv,31.42,65.27,55.69,20.02,92.66,20.02
,DDhk,EEmz,FFbpv,37.11,68.96,56.55,26.80,98.62,26.80
CCbt,DDhpt,EEhpx,FFgqt,31.12,64.72,44.98,10.26,84.19,10.26
,DDmpy,EEmz,FFgqt,33.11,66.05,56.82,22.31,93.32,22.31
,DDmx,EEmz,FFgqt,28.15,57.68,37.20,1.49,67.12,1.49
Minimum,,,,28.15,57.68,37.20,1.49,67.12,1.49
