Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,384.67
AAdk,BBtw,CChv,DDtv,EEmn,645.95
AAdk,BBtw,CChv,DDnt,EEfh,285.59
AAdk,BBtw,CChv,DDtv,EElp,542.31
AAdk,BBtw,CChv,DDnt,EEfx,162.93
AAdk,BBtw,CChv,DDtv,EEdn,295.44
AAdk,BBst,CChv,DDnt,EEdn,430.65
AAdk,BBst,CChv,DDtv,EEmn,431.9
AAdk,BBst,CChv,DDnt,EEfh,175.88
AAdk,BBst,CChv,DDtv,EElp,433.56
AAdk,BBst,CChv,DDnt,EEfx,433.17
AAdk,BBst,CChv,DDtv,EEdn,701.48
AAdk,BBtw,CChv,DDnt,EEdn,576.13
AAdk,BBtw,CChv,DDtv,EEmn,967.67
AAdk,BBtw,CChv,DDnt,EEfh,584.52
AAdk,BBtw,CChv,DDtv,EElp,79.51
AAdk,BBtw,CChv,DDnt,EEfx,95.76
AAdk,BBtw,CChv,DDtv,EEdn,991.0
AAdk,BBst,CChv,DDnt,EEdn,98.59
AAdk,BBst,CChv,DDtv,EEmn,742.64
AAdk,BBst,CChv,DDnt,EEfh,871.01
AAdk,BBst,CChv,DDtv,EElp,999.68
AAdk,BBst,CChv,DDnt,EEfx,749.41
AAdk,BBst,CChv,DDtv,EEdn,757.7
