DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,Maximum
DDmx,,27.63,13.71,14.70,22.29,5.69,16.56,24.73,3.18,27.63
,  EEqz,27.63,12.19,12.98,20.30,3.71,15.06,18.59,2.27,27.63
,  EEmz,27.44,10.32,8.83,18.71,0.70,14.12,13.68,1.19,27.44
,  EEbhk,26.86,13.71,14.70,22.29,5.69,16.56,24.73,3.18,26.86
DDcy,,27.94,13.22,15.40,21.63,7.88,16.00,22.37,10.28,27.94
,  EEcrv,27.86,12.16,13.58,21.63,4.85,16.00,22.37,2.85,27.86
,  EEbkv,27.94,10.51,2.10,0.06,1.96,2.88,17.57,8.18,27.94
,  EEmz,0.77,13.22,15.40,3.40,7.88,4.29,19.86,10.28,19.86
DDcjx,,23.20,13.62,17.31,20.47,8.78,18.42,26.96,10.67,26.96
,  EEdhv,23.20,13.62,14.95,2.14,5.48,16.49,16.41,2.43,23.20
,  EEkqy,21.78,11.21,11.50,20.47,2.29,15.90,20.40,8.19,21.78
,  EEbkv,1.60,1.79,17.31,1.32,8.78,18.42,26.96,10.67,26.96
