CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBnqx,AApqr_BBbpv,AApqr_BBbkv
CCbt,DDbmz,79.20,-91.99,54.50,-18.55,-69.85
,DDmpy,-48.95,-87.60,-99.68,-15.66,62.46
,DDcwz,72.51,35.92,7.19,-28.15,-72.98
,DDmx,68.81,33.11,-0.79,89.40,-76.58
CCfnw,DDmx,-43.59,-83.32,31.04,-12.56,63.06
,DDqz,72.70,37.19,9.97,-28.41,-72.68
,DDgv,80.62,-91.49,54.17,-18.62,-68.97
,DDkrs,-59.80,34.76,2.94,93.92,54.55
CChpx,DDlmr,-57.47,-93.15,7.27,95.99,55.76
,DDdlz,81.85,-87.01,29.32,-17.34,59.63
,DDkrs,-43.17,-83.58,-96.43,-9.20,-69.25
,DDcmp,-50.13,-90.05,10.24,-20.89,-72.87
Average,,12.71,-47.27,0.81,9.16,-17.31
