CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBcjx,AAcqx_BBgv,EE,FF
CCcy,,13.43,57.14,3.21,87.58,40.65,30.39,72.11,,
,  DDbkv,13.43,57.14,3.21,87.58,40.65,30.39,72.11,EEmz,FFlmr
,  DDbmz,21.54,62.94,7.95,91.15,43.78,31.56,73.81,EEmz,FFgqt
,  DDhlt,25.10,68.52,7.70,97.84,50.90,36.94,78.55,EEmz,FFlmr
CCkqy,,13.71,58.19,5.11,89.41,41.62,31.77,73.87,,
,  DDbsz,23.66,66.26,8.38,96.73,46.96,34.76,76.83,EEmz,FFlmr
,  DDmx,26.43,68.36,10.69,99.55,51.29,38.89,80.31,EEmz,FFgqt
,  DDcwz,13.71,58.19,5.11,89.41,41.62,31.77,73.87,EEmz,FFgqt
CCbt,,12.22,51.34,1.29,85.07,39.37,28.84,71.98,,
,  DDmx,12.22,51.34,1.29,85.07,39.37,28.84,71.98,EEmz,FFgqt
,  DDhpt,16.08,57.78,5.01,90.12,42.34,32.96,74.07,EEmz,FFlmr
,  DDmpy,24.80,67.47,9.24,97.82,50.12,35.10,77.58,EEmz,FFgqt
