DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCcqx
Maximum,,18.26,27.40,8.03,21.52,27.79
,  ,18.26,27.40,8.03,21.52,27.79
DDcy,,17.52,27.24,7.98,21.52,26.93
,  EEbkv,7.82,27.24,2.19,12.79,18.87
,  EEmz,17.52,9.20,7.98,21.52,26.93
,  EEcrv,14.79,26.22,5.68,15.50,23.19
DDcjx,,18.26,25.45,8.03,17.56,27.79
,  EEdhv,14.09,25.45,4.30,17.56,24.48
,  EEbkv,18.26,10.40,8.03,1.74,27.79
,  EEkqy,12.03,21.34,3.99,14.80,19.56
DDmx,,14.72,27.40,7.99,19.40,21.69
,  EEbhk,14.72,2.02,7.99,19.40,21.69
,  EEmz,9.82,27.40,1.64,11.05,19.85
,  EEqz,12.93,25.84,3.78,15.13,13.66
