AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,384.12
AAdk,BBtw,CCst,DDnw,385.71
AAdk,BBtw,CChv,DDrz,131.72
AAdk,BBtw,CCst,DDcl,910.98
AAdk,BBtw,CChv,DDlp,142.72
AAdk,BBtw,CCst,DDcs,921.99
AAdk,BBrv,CChv,DDnt,670.51
AAdk,BBrv,CCst,DDnw,287.51
AAdk,BBrv,CChv,DDrz,801.45
AAdk,BBrv,CCst,DDcl,299.95
AAdk,BBrv,CChv,DDlp,304.25
AAdk,BBrv,CCst,DDcs,820.95
AAdk,BBmn,CChv,DDnt,183.31
AAdk,BBmn,CCst,DDnw,571.73
AAdk,BBmn,CChv,DDrz,71.26
AAdk,BBmn,CCst,DDcl,711.76
AAdk,BBmn,CChv,DDlp,844.92
AAdk,BBmn,CCst,DDcs,337.93
AAdk,BBtw,CChv,DDnt,982.31
AAdk,BBtw,CCst,DDnw,983.43
AAdk,BBtw,CChv,DDrz,984.12
AAdk,BBtw,CCst,DDcl,480.9
AAdk,BBtw,CChv,DDlp,108.77
AAdk,BBtw,CCst,DDcs,109.3
