Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,902.82
AAdk,BBtw,CChv,DDtv,EEmn,789.36
AAdk,BBtw,CChv,DDpw,EEfh,281.94
AAdk,BBtw,CChv,DDnt,EElp,668.6
AAdk,BBtw,CChv,DDtv,EEfx,925.19
AAdk,BBtw,CChv,DDpw,EEhr,671.34
AAdk,BBtw,CChv,DDnt,EEhl,163.17
AAdk,BBtw,CChv,DDtv,EEkz,554.88
AAdk,BBtw,CChv,DDpw,EEdn,178.81
AAdk,BBst,CChv,DDnt,EEdn,437.18
AAdk,BBst,CChv,DDtv,EEmn,184.42
AAdk,BBst,CChv,DDpw,EEfh,829.49
AAdk,BBst,CChv,DDnt,EElp,324.14
AAdk,BBst,CChv,DDtv,EEfx,964.88
AAdk,BBst,CChv,DDpw,EEhr,326.38
AAdk,BBst,CChv,DDnt,EEhl,459.65
AAdk,BBst,CChv,DDtv,EEkz,335.22
AAdk,BBst,CChv,DDpw,EEdn,975.77
AAdk,BBtw,CChv,DDnt,EEdn,465.42
AAdk,BBtw,CChv,DDtv,EEmn,722.93
AAdk,BBtw,CChv,DDpw,EEfh,849.79
AAdk,BBtw,CChv,DDnt,EElp,981.08
AAdk,BBtw,CChv,DDtv,EEfx,853.43
AAdk,BBtw,CChv,DDpw,EEhr,88.41
AAdk,BBtw,CChv,DDnt,EEhl,345.21
AAdk,BBtw,CChv,DDtv,EEkz,987.93
AAdk,BBtw,CChv,DDpw,EEdn,121.31
AAdk,BBst,CChv,DDnt,EEdn,613.07
AAdk,BBst,CChv,DDtv,EEmn,617.75
AAdk,BBst,CChv,DDpw,EEfh,105.65
AAdk,BBst,CChv,DDnt,EElp,105.75
AAdk,BBst,CChv,DDtv,EEfx,876.08
AAdk,BBst,CChv,DDpw,EEhr,242.23
AAdk,BBst,CChv,DDnt,EEhl,505.43
AAdk,BBst,CChv,DDtv,EEkz,762.99
AAdk,BBst,CChv,DDpw,EEdn,766.27
