DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,Average
DDcy,,43.16,5.29,-25.02,20.63,15.72,11.95
,  EEbkv,64.89,-96.45,-36.01,-83.00,4.74,-29.17
,  EEmz,88.38,43.12,-11.97,60.81,24.59,40.99
,  EEcrv,-58.72,36.34,-30.71,48.57,11.15,1.33
,  EEmpy,78.09,38.14,-21.41,56.13,22.41,34.67
DDcjx,,12.65,-24.88,11.03,-41.79,-14.72,-11.54
,  EEbkv,-39.78,44.91,-4.78,-67.03,-97.70,-32.88
,  EEhq,-48.09,-87.62,-18.35,59.98,21.20,-14.58
,  EEdhv,73.83,-92.46,-29.23,-77.44,13.47,-22.37
,  EEkqy,64.66,35.66,96.48,-82.66,4.14,23.66
DDmx,,7.23,-60.02,35.23,-44.87,12.59,-9.97
,  EEqz,66.29,-92.40,96.57,-82.11,6.99,-0.93
,  EEbhk,-52.54,-93.74,-27.94,-73.83,21.15,-45.38
,  EEmz,63.52,32.79,88.45,45.26,0.46,46.10
,  EEksy,-48.36,-86.73,-16.15,-68.79,21.76,-39.65
Average,,21.01,-26.54,7.08,-22.01,4.53,-3.18
,  ,21.01,-26.54,7.08,-22.01,4.53,-3.18
