AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,636.38
AAdk,BBtw,CChv,DDtv,EEmn,66.84
AAdk,BBtw,CChv,DDnt,EEfh,732.86
AAdk,BBtw,CChv,DDtv,EElp,642.88
AAdk,BBst,CChv,DDnt,EEdn,360.53
AAdk,BBst,CChv,DDtv,EEmn,425.84
AAdk,BBst,CChv,DDnt,EEfh,40.95
AAdk,BBst,CChv,DDtv,EElp,242.48
AAdk,BBtw,CChv,DDnt,EEdn,307.05
AAdk,BBtw,CChv,DDtv,EEmn,374.56
AAdk,BBtw,CChv,DDnt,EEfh,407.19
AAdk,BBtw,CChv,DDtv,EElp,982.35
AAdk,BBst,CChv,DDnt,EEdn,441.3
AAdk,BBst,CChv,DDtv,EEmn,698.26
AAdk,BBst,CChv,DDnt,EEfh,380.68
AAdk,BBst,CChv,DDtv,EElp,343.27
