CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCbt,,14.97,53.20,41.90,1.75,88.73,66.37,34.96,1.75,,
,  DDhpt,20.81,58.81,45.96,5.32,91.34,75.27,37.88,5.32,EEhpx,FFcmp
,  DDmx,14.97,53.20,41.90,1.75,88.73,66.37,34.96,1.75,EEmz,FFgqt
,  DDmpy,25.52,61.16,50.09,9.39,94.90,75.23,40.56,9.39,EEmz,FFbpv
CCcy,,16.41,55.43,44.24,3.90,89.38,69.10,34.19,3.90,,
,  DDbkv,16.41,55.43,44.24,3.90,89.38,69.10,34.19,3.90,EEhpx,FFlmr
,  DDbmz,21.06,59.15,47.62,3.98,90.93,76.81,38.63,3.98,EEmz,FFgqt
,  DDhlt,30.92,64.37,51.27,10.67,93.92,80.13,41.69,10.67,EEhpx,FFcmp
CCkqy,,17.17,55.07,37.53,4.15,88.08,74.30,36.53,4.15,,
,  DDbsz,21.97,60.42,46.12,7.73,93.76,76.78,39.82,7.73,EEhpx,FFlmr
,  DDmx,30.33,65.27,52.03,9.26,95.94,82.96,42.26,9.26,EEmz,FFgqt
,  DDcwz,17.17,55.07,37.53,4.15,88.08,74.30,36.53,4.15,EEmz,FFbpv
