AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,649.43
AAdk,BBtw,CCst,DDnw,781.35
AAdk,BBtw,CChv,DDrz,783.04
AAdk,BBtw,CCst,DDcl,785.76
AAdk,BBtw,CChv,DDlp,276.3
AAdk,BBtw,CCst,DDcs,413.65
AAdk,BBrv,CChv,DDnt,160.11
AAdk,BBrv,CCst,DDnw,164.32
AAdk,BBrv,CChv,DDrz,166.22
AAdk,BBrv,CCst,DDcl,565.91
AAdk,BBrv,CChv,DDlp,184.84
AAdk,BBrv,CCst,DDcs,61.71
AAdk,BBmn,CChv,DDnt,66.59
AAdk,BBmn,CCst,DDnw,971.8
AAdk,BBmn,CChv,DDrz,975.78
AAdk,BBmn,CCst,DDcl,340.67
AAdk,BBmn,CChv,DDlp,601.44
AAdk,BBmn,CCst,DDcs,482.06
AAdk,BBtw,CChv,DDnt,868.6
AAdk,BBtw,CCst,DDnw,996.58
AAdk,BBtw,CChv,DDrz,236.65
AAdk,BBtw,CCst,DDcl,885.32
AAdk,BBtw,CChv,DDlp,631.34
AAdk,BBtw,CCst,DDcs,377.29
