DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,Average
DDcjx,,-51.19,64.13,-78.04,39.17,65.37,-17.84,16.78,5.48
,  EEkqy,-51.16,64.16,-81.37,39.50,-8.69,-19.11,18.09,-5.51
,  EEdhv,-57.21,57.02,-83.81,34.37,83.93,-24.37,13.19,3.30
,  EEdfk,-42.67,68.08,-71.36,43.94,99.55,-8.34,21.37,15.80
,  EEhq,-53.73,67.27,-75.64,38.87,86.69,-19.55,14.48,8.34
DDcy,,-52.99,63.34,-80.65,37.24,62.97,-20.56,15.64,3.57
,  EEcrv,-59.41,56.72,-89.32,31.38,82.47,-30.57,12.36,0.52
,  EEmpy,-54.57,64.23,-79.50,37.92,84.09,-19.81,13.97,6.62
,  EEbkv,-50.96,62.45,-81.64,38.52,-10.75,-20.38,15.63,-6.73
,  EEjvz,-47.03,69.95,-72.16,41.15,96.05,-11.47,20.59,13.87
DDmx,,-54.98,61.31,-83.37,35.73,59.22,-22.62,12.25,1.08
,  EEqz,-59.29,55.52,-94.33,30.85,78.82,-32.18,11.09,-1.36
,  EEbhk,-59.32,60.24,-82.43,36.39,84.63,-22.17,13.58,4.42
,  EEksy,-49.42,68.79,-74.36,38.18,85.58,-14.39,12.98,9.62
,  EEmz,-51.89,60.68,-82.38,37.52,-12.15,-21.73,11.35,-8.37
Average,,-53.05,62.92,-80.69,37.38,62.52,-20.34,14.89,3.38
,  ,-53.05,62.92,-80.69,37.38,62.52,-20.34,14.89,3.38
