DD,EE,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,Average
DDcjx,EEqz,83.78,36.65,49.80,-29.70,61.22,-5.14,32.77
,EEmz,-51.47,30.41,-82.95,-33.35,-71.16,-12.46,-36.83
,EEkqy,64.75,5.72,40.26,-43.18,-78.95,-22.35,-5.63
,EEdhv,70.47,12.74,43.51,86.01,55.92,-18.09,41.76
DDmx,EEqz,56.29,7.38,41.45,-41.50,53.32,-81.64,5.88
,EEmz,60.54,0.42,-91.94,83.54,50.28,-28.00,12.47
,EEbhk,69.94,20.75,44.38,-38.40,-73.11,-16.16,1.23
,EEbkv,78.87,-93.15,-89.57,-32.96,53.62,-13.40,-16.10
DDcy,EEcrv,-59.07,5.40,-86.34,-43.86,54.30,-20.91,-25.08
,EEmpy,-55.61,27.62,45.21,93.91,-71.31,-13.87,4.32
,EEkqy,-46.96,-92.50,-80.99,97.53,-68.81,-7.52,-33.21
,EEbkv,-66.70,5.47,-93.83,-43.19,-77.01,-23.21,-49.74
