DD,EE,AAgqt_BBfnw_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCcqx
DDcy,,28.00,15.56,22.97,4.75,23.51
,  EEmpy,28.00,15.56,22.97,4.75,23.51
,  EEcrv,25.67,13.41,18.17,4.30,22.34
,  EEbkv,27.78,6.26,11.93,0.76,19.16
DDcjx,,22.55,17.55,23.60,5.44,26.65
,  EEdhv,0.11,14.39,21.78,5.18,17.56
,  EEkqy,22.55,6.07,13.61,2.36,19.12
,  EEmz,8.04,17.55,23.60,5.44,26.65
DDmx,,26.47,15.92,22.60,6.86,24.78
,  EEbhk,26.04,15.92,22.60,6.86,24.78
,  EEmz,26.47,9.37,9.27,0.99,17.03
,  EEqz,21.55,12.79,16.62,3.73,18.58
