CC,DD,EE,FF,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBgv,AAcqx_BBcjx
CCbt,DDhpt,EEhpx,FFlmr,51.17,4.61,84.05,17.74,61.21,73.09,32.46
,DDmx,EEmz,FFgqt,42.82,1.86,80.54,13.78,59.96,71.04,28.86
,DDmpy,EEmz,FFgqt,54.76,11.48,79.86,21.87,66.70,78.73,35.90
CCkqy,DDbsz,EEhpx,FFlmr,52.72,10.95,82.74,20.27,65.60,76.41,32.40
,DDbkv,EEmz,FFgqt,58.99,13.89,94.59,26.65,69.08,80.34,40.33
,DDcwz,EEmz,FFgqt,50.16,3.63,83.39,16.88,61.22,73.59,30.20
CCcy,DDmx,EEhpx,FFlmr,56.42,12.30,89.36,22.87,67.04,78.40,37.09
,DDbmz,EEmz,FFgqt,52.34,5.17,83.35,17.06,64.36,76.00,33.21
,DDbkv,EEhpx,FFlmr,47.35,1.67,80.27,15.26,59.63,72.83,28.73
Minimum,,,,42.82,1.67,79.86,13.78,59.63,71.04,28.73
