AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,780.58
AAdk,BBtw,CCst,DDnw,911.21
AAdk,BBtw,CCbx,DDrz,530.02
AAdk,BBtw,CChv,DDcl,146.27
AAdk,BBtw,CCst,DDlp,27.54
AAdk,BBtw,CCbx,DDcs,418.68
AAdk,BBtw,CChv,DDhm,419.46
AAdk,BBtw,CCst,DDnt,36.41
AAdk,BBtw,CCbx,DDnw,421.11
AAdk,BBrv,CChv,DDnt,803.42
AAdk,BBrv,CCst,DDnw,39.31
AAdk,BBrv,CCbx,DDrz,39.73
AAdk,BBrv,CChv,DDcl,937.81
AAdk,BBrv,CCst,DDlp,935.43
AAdk,BBrv,CCbx,DDcs,297.6
AAdk,BBrv,CChv,DDhm,291.54
AAdk,BBrv,CCst,DDnt,177.12
AAdk,BBrv,CCbx,DDnw,307.35
AAdk,BBmn,CChv,DDnt,309.7
AAdk,BBmn,CCst,DDnw,183.21
AAdk,BBmn,CCbx,DDrz,577.08
AAdk,BBmn,CChv,DDcl,965.32
AAdk,BBmn,CCst,DDlp,70.57
AAdk,BBmn,CCbx,DDcs,199.0
AAdk,BBmn,CChv,DDhm,969.61
AAdk,BBmn,CCst,DDnt,585.95
AAdk,BBmn,CCbx,DDnw,359.31
AAdk,BBtw,CChv,DDnt,872.43
AAdk,BBtw,CCst,DDnw,105.79
AAdk,BBtw,CCbx,DDrz,488.58
AAdk,BBtw,CChv,DDcl,363.29
AAdk,BBtw,CCst,DDlp,759.37
AAdk,BBtw,CCbx,DDcs,500.29
AAdk,BBtw,CChv,DDhm,628.42
AAdk,BBtw,CCst,DDnt,247.01
AAdk,BBtw,CCbx,DDnw,638.54
