DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBlmr_CCcqx,Maximum
DDmx,EEbhk,8.61,24.30,4.96,10.61,6.81,22.66,24.65,24.65
,EEmz,8.55,26.24,15.88,8.98,1.76,18.64,11.85,26.24
,EEqz,11.86,23.91,16.72,9.40,2.02,20.20,14.08,23.91
DDcjx,EEdhv,11.10,25.12,16.78,4.66,5.84,20.42,20.15,25.12
,EEmz,15.92,1.60,18.63,11.40,8.89,23.58,26.69,26.69
,EEkqy,10.97,27.46,16.32,9.26,2.91,7.03,16.58,27.46
DDcy,EEmpy,16.61,5.50,17.47,9.84,6.78,22.89,25.93,25.93
,EEcrv,12.42,23.52,16.49,9.99,4.78,7.39,22.07,23.52
,EEbkv,10.23,26.50,15.08,9.52,1.49,19.38,15.55,26.50
Maximum,,16.61,27.46,18.63,11.40,8.89,23.58,26.69,27.46
