CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,Minimum,EE,FF
CCkqy,,67.49,20.74,5.16,39.27,5.16,,
,  DDbsz,93.26,32.69,12.61,54.81,12.61,EEmz,FFlmr
,  DDcwz,67.49,20.74,5.16,39.27,5.16,EEmz,FFgqt
,  DDhk,98.06,36.87,15.76,61.14,15.76,EEmz,FFgqt
CCbt,,65.46,17.04,1.32,37.82,1.32,,
,  DDmpy,95.00,34.25,14.67,57.20,14.67,EEmz,FFgqt
,  DDhpt,79.98,26.39,7.44,41.76,7.44,EEmz,FFlmr
,  DDmx,65.46,17.04,1.32,37.82,1.32,EEmz,FFgqt
CCcy,,67.56,18.29,4.59,38.92,4.59,,
,  DDbkv,67.56,18.29,4.59,38.92,4.59,EEmz,FFlmr
,  DDhlt,95.88,35.28,15.62,61.53,15.62,EEmz,FFlmr
,  DDbmz,83.53,30.65,12.33,43.70,12.33,EEmz,FFgqt
