CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,Minimum
CCfnw,,16.37,71.04,1.86,57.10,29.31,83.82,1.86
,  DDkrs,16.37,71.04,1.86,57.10,29.31,83.82,1.86
,  DDqz,19.57,73.40,3.66,61.21,42.57,86.18,3.66
,  DDgv,22.69,77.71,8.82,66.18,48.30,89.32,8.82
CCbt,,15.24,69.50,0.64,52.93,24.97,81.05,0.64
,  DDcwz,18.40,72.88,2.12,60.88,33.94,85.74,2.12
,  DDbmz,18.38,74.00,6.23,65.31,46.28,88.99,6.23
,  DDmx,15.24,69.50,0.64,52.93,24.97,81.05,0.64
CChpx,,17.01,72.08,1.56,57.81,30.87,84.35,1.56
,  DDlmr,17.01,72.08,1.65,57.81,30.87,84.35,1.65
,  DDcmp,18.37,75.59,1.56,61.65,43.52,87.83,1.56
,  DDmx,24.73,78.30,10.22,67.46,51.90,93.96,10.22
Minimum,,15.24,69.50,0.64,52.93,24.97,81.05,0.64
,  ,15.24,69.50,0.64,52.93,24.97,81.05,0.64
