AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,275.23
AAdk,BBtw,CCst,DDnw,149.61
AAdk,BBtw,CCbx,DDrz,662.06
AAdk,BBtw,CChv,DDcl,667.37
AAdk,BBtw,CCst,DDlp,29.82
AAdk,BBtw,CCbx,DDcs,38.39
AAdk,BBtw,CChv,DDhm,811.62
AAdk,BBtw,CCst,DDdf,175.59
AAdk,BBtw,CCbx,DDnt,304.42
AAdk,BBrv,CChv,DDnt,565.49
AAdk,BBrv,CCst,DDnw,950.27
AAdk,BBrv,CCbx,DDrz,695.66
AAdk,BBrv,CChv,DDcl,828.58
AAdk,BBrv,CCst,DDlp,62.35
AAdk,BBrv,CCbx,DDcs,582.98
AAdk,BBrv,CChv,DDhm,711.1
AAdk,BBrv,CCst,DDdf,713.61
AAdk,BBrv,CCbx,DDnt,461.49
AAdk,BBtw,CChv,DDnt,79.65
AAdk,BBtw,CCst,DDnw,979.44
AAdk,BBtw,CCbx,DDrz,990.39
AAdk,BBtw,CChv,DDcl,112.45
AAdk,BBtw,CCst,DDlp,756.53
AAdk,BBtw,CCbx,DDcs,245.92
AAdk,BBtw,CChv,DDhm,635.02
AAdk,BBtw,CCst,DDdf,124.1
AAdk,BBtw,CCbx,DDnt,253.06
