AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,133.31
AAdk,BBtw,CChv,DDtv,EEmn,526.95
AAdk,BBtw,CChv,DDnt,EEfh,532.36
AAdk,BBtw,CChv,DDtv,EElp,34.83
AAdk,BBtw,CChv,DDnt,EEfx,419.61
AAdk,BBtw,CChv,DDtv,EEdn,298.93
AAdk,BBst,CChv,DDnt,EEdn,171.89
AAdk,BBst,CChv,DDtv,EEmn,303.63
AAdk,BBst,CChv,DDnt,EEfh,944.53
AAdk,BBst,CChv,DDtv,EElp,694.21
AAdk,BBst,CChv,DDnt,EEfx,695.29
AAdk,BBst,CChv,DDtv,EEdn,312.38
AAdk,BBrz,CChv,DDnt,EEdn,57.53
AAdk,BBrz,CChv,DDtv,EEmn,187.92
AAdk,BBrz,CChv,DDnt,EEfh,957.87
AAdk,BBrz,CChv,DDtv,EElp,712.86
AAdk,BBrz,CChv,DDnt,EEfx,847.23
AAdk,BBrz,CChv,DDtv,EEdn,725.21
AAdk,BBtw,CChv,DDnt,EEdn,859.91
AAdk,BBtw,CChv,DDtv,EEmn,225.19
AAdk,BBtw,CChv,DDnt,EEfh,486.51
AAdk,BBtw,CChv,DDtv,EElp,103.03
AAdk,BBtw,CChv,DDnt,EEfx,616.73
AAdk,BBtw,CChv,DDtv,EEdn,617.51
AAdk,BBst,CChv,DDnt,EEdn,750.45
AAdk,BBst,CChv,DDtv,EEmn,369.7
AAdk,BBst,CChv,DDnt,EEfh,370.09
AAdk,BBst,CChv,DDtv,EElp,243.14
AAdk,BBst,CChv,DDnt,EEfx,757.87
AAdk,BBst,CChv,DDtv,EEdn,382.04
