DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,Average
DDmx,EEksy,-42.91,51.82,-15.47,29.69,-70.02,-9.38
,EEqz,71.48,40.55,96.33,19.15,-70.55,31.39
,EEbhk,81.23,-83.66,-28.82,26.96,58.54,10.85
,EEmz,-60.20,29.96,90.82,-0.80,54.68,22.89
DDcy,EEmpy,83.35,-83.50,-27.68,27.62,63.40,12.64
,EEcrv,-57.83,40.83,97.13,20.25,-68.41,6.39
,EEbkv,-59.76,37.65,90.44,2.36,57.57,25.65
,EEmz,-39.38,-77.52,-8.56,-99.76,66.49,-31.75
DDcjx,EEkqy,-59.77,38.62,-35.04,17.98,-70.51,-21.74
,EEbkv,90.16,-75.56,-1.43,31.20,-61.80,-3.49
,EEhq,84.28,-81.87,-16.92,28.09,64.25,15.57
,EEdhv,81.09,-86.72,98.18,19.13,61.62,34.66
