CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBnqx,AApqr_BBbkv,AApqr_BBbpv,Average
CChpx,DDlmr,-89.01,-54.48,13.47,-74.53,96.49,-21.61
,DDkrs,-77.94,-38.62,38.07,72.01,-1.15,-1.53
,DDdlz,47.25,-42.21,32.07,67.57,-14.02,18.13
,DDcmp,43.66,83.23,24.42,-68.87,-25.02,11.48
CCbt,DDbmz,43.29,85.16,25.46,62.64,-20.82,39.15
,DDcwz,39.08,76.56,19.73,56.01,99.01,58.08
,DDmpy,-81.92,-40.53,-95.91,67.48,-7.39,-31.65
,DDmx,38.58,74.60,6.43,-75.67,-36.08,1.57
CCfnw,DDqz,43.18,83.12,24.72,-72.05,99.94,35.78
,DDkrs,39.47,-54.36,13.35,-74.74,-33.29,-21.91
,DDgv,46.57,-42.42,-99.99,-65.29,-17.55,-35.74
,DDmx,-78.90,90.94,36.58,39.21,-3.25,16.92
