DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCcqx,AAgqt_BBnry_CCbt
DDmx,,75.19,14.10,-64.94,42.13,-22.29,-57.31
,  EEqz,62.25,10.73,-73.45,34.18,-29.95,-99.83
,  EEksy,86.60,16.61,-55.19,48.83,-15.27,-94.89
,  EEkqy,90.54,24.18,-49.47,54.98,-5.96,-86.07
,  EEmz,60.50,4.91,-82.29,31.61,-37.75,89.44
,  EEbhk,76.08,14.06,-64.30,41.05,-22.54,-95.22
DDcjx,,79.13,17.34,-60.86,45.09,-15.89,-52.72
,  EEcrv,90.25,26.81,-45.93,60.60,-2.47,-84.04
,  EEhq,79.79,16.82,-57.89,43.14,-16.78,-93.50
,  EEdhv,74.12,12.34,-72.89,38.74,-22.84,-96.82
,  EEkqy,61.93,10.66,-74.04,33.96,-31.26,99.99
,  EEbkv,89.54,20.06,-53.54,49.03,-6.10,-89.21
DDcy,,77.84,16.03,-62.19,42.67,-19.54,-54.88
,  EEqz,89.70,26.04,-49.42,55.82,-4.38,-86.88
,  EEcrv,74.79,12.46,-73.77,33.20,-23.60,-98.91
,  EEmz,88.14,19.67,-53.94,49.16,-14.33,-91.84
,  EEbkv,61.42,8.45,-75.46,32.20,-35.83,97.69
,  EEmpy,75.14,13.55,-58.37,42.96,-19.55,-94.46
Average,,77.39,15.82,-62.66,43.30,-19.24,-54.97
,  ,77.39,15.82,-62.66,43.30,-19.24,-54.97
