Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,11.98
AAdk,BBtw,CChv,DDtv,EEmn,19.48
AAdk,BBtw,CChv,DDpw,EEfh,278.73
AAdk,BBtw,CChv,DDnt,EElp,154.24
AAdk,BBtw,CChv,DDtv,EEfx,542.36
AAdk,BBtw,CChv,DDpw,EEhr,288.91
AAdk,BBtw,CChv,DDnt,EEhl,674.51
AAdk,BBtw,CChv,DDtv,EEdn,932.71
AAdk,BBtw,CChv,DDpw,EEmn,807.7
AAdk,BBst,CChv,DDnt,EEdn,565.67
AAdk,BBst,CChv,DDtv,EEmn,54.91
AAdk,BBst,CChv,DDpw,EEfh,185.11
AAdk,BBst,CChv,DDnt,EElp,953.4
AAdk,BBst,CChv,DDtv,EEfx,956.92
AAdk,BBst,CChv,DDpw,EEhr,573.31
AAdk,BBst,CChv,DDnt,EEhl,189.43
AAdk,BBst,CChv,DDtv,EEdn,193.65
AAdk,BBst,CChv,DDpw,EEmn,65.32
AAdk,BBtw,CChv,DDnt,EEdn,707.4
AAdk,BBtw,CChv,DDtv,EEmn,456.24
AAdk,BBtw,CChv,DDpw,EEfh,333.99
AAdk,BBtw,CChv,DDnt,EElp,976.93
AAdk,BBtw,CChv,DDtv,EEfx,726.55
AAdk,BBtw,CChv,DDpw,EEhr,478.16
AAdk,BBtw,CChv,DDnt,EEhl,734.95
AAdk,BBtw,CChv,DDtv,EEdn,482.56
AAdk,BBtw,CChv,DDpw,EEmn,867.15
AAdk,BBst,CChv,DDnt,EEdn,994.23
AAdk,BBst,CChv,DDtv,EEmn,376.62
AAdk,BBst,CChv,DDpw,EEfh,742.92
AAdk,BBst,CChv,DDnt,EElp,112.16
AAdk,BBst,CChv,DDtv,EEfx,626.01
AAdk,BBst,CChv,DDpw,EEhr,242.07
AAdk,BBst,CChv,DDnt,EEhl,885.93
AAdk,BBst,CChv,DDtv,EEdn,760.59
AAdk,BBst,CChv,DDpw,EEmn,126.83
